Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
PKS 0514-459,3FGL J2036.8-2830,CGRABS J0515-4556,FSRQ,-45.948299407959,78.9058990478516,0.19,9.216951854518209e-12,3.981071705534986e+44,6.171355162934382e+16,9.163594493716063e-16,4.610427445544353e-16,1.4727453344704584e-15,1.805122564796318e-05,8.694806940932341e-06,3.030195466196938e-05,1.2009925802707995,1.31e+17,0.706,13.1,1.31e+17,8.89e+40,52700.0,208.0,2.57,9.35e+43,4.892846722271976e+43,1.4398313018656252e+44,742000.0,100,1.0
PKS 0048-071,3FGL J2036.8-2830,CGRABS J0051-0650,FSRQ,-6.80959987640381,12.7824001312256,1.98,9.20903717865906e-12,1e+46,3.147391133096535e+17,8.136937176890793e-16,2.9320536193348766e-16,1.293072086924536e-15,1.9987874926271922e-05,6.670015987425159e-06,3.311816026044405e-05,3.500219492893332,2e+17,0.218,14.3,7.5e+17,2.97e+43,68600.0,166.0,2.51,1.12e+45,4.7230008384001214e+44,1.6049740786653983e+45,2340000.0,100,1.0
PKS 0002-478,3FGL J2036.8-2830,CGRABS J0004-4736,FSRQ,-47.6232986450195,1.10909998416901,0.88,6.5130097495757995e-12,1.2882495516931323e+45,1.1417007051428608e+17,4.637156731161923e-16,5.625425545974334e-17,8.127919405761983e-16,5.1801819801312875e-05,6.578171418240734e-06,8.967888012254233e-05,0.10318283486775584,2.92e+16,1.07,19.6,2.22e+17,5.33e+41,9670.0,55.4,1.77,3.99e+45,8.193564855564013e+44,5.71772015524548e+45,100000.0,100,1.0
S4 1726+45,3FGL J2036.8-2830,CGRABS J1727+4530,FSRQ,45.510799407959,261.852111816406,0.72,2.5921266869066696e-11,7.943282347242789e+45,2.807966599135144e+17,4.0765647613501193e-16,2.2169698500456552e-16,6.760347215236356e-16,9.51912541646009e-06,4.915621293120065e-06,1.6336898776735048e-05,1.8068957581270597,1.09e+17,0.31,12.8,1.01e+18,2.67e+42,10300.0,236.0,1.83,5.03e+44,3.510087841845128e+44,6.70761280378152e+44,2060000.0,100,1.0
GB6 J1604+5714,3FGL J2036.8-2830,CGRABS J1604+5714,FSRQ,57.2380981445313,241.158493041992,0.72,1.9209311225010197e-11,7.079457843841402e+45,2.6228259442471126e+17,3.7701207899524104e-16,1.4600290958762806e-16,5.732947035535215e-16,2.3892541662801508e-06,6.997818864655808e-07,4.206910979733827e-06,6.868638211229191,1.52e+17,0.518,17.9,9.97e+17,4.68e+41,6230.0,12.7,1.47,8.86e+43,3.736231020377239e+43,1.2696491372299488e+44,1710000.0,100,1.0
GB6 J0937+5008,3FGL J2036.8-2830,CGRABS J0937+5008,FSRQ,50.143699645996094,144.296905517578,0.28,4.576725283478299e-12,9.772372209558152e+43,3.085677581467191e+16,2.0106488342231669e-16,8.44189940206484e-17,2.1618732953679555e-16,4.6575030765312874e-07,1.8907847634585925e-07,5.029076831660765e-07,8.193890166283534,2e+17,1.12,26.2,1.06e+17,1.13e+40,9100.0,94.7,2.41,2.18e+42,9.192983774743093e+41,2.342645065740472e+42,998000.0,100,1.0
PKS 0336-01,3FGL J2036.8-2830,CGRABS J0339-0146,FSRQ,-1.77690005302429,54.8771018981934,0.85,5.83750062177479e-11,1.5135612484362073e+46,3.857096976833989e+17,4.1209053551743237e-17,2.979223129024869e-17,5.2907703363472184e-17,1.0983289428782746e-06,7.87376273097305e-07,1.4207528307091273e-06,4.747915551469279,2e+17,0.522,26.8,1.17e+18,5.16e+41,11800.0,20.8,2.07,2.01e+43,1.5072873607582362e+43,2.4942848991109564e+43,747000.0,100,1.0
PKS 0805-07,3FGL J2036.8-2830,CGRABS J0808-0751,FSRQ,-7.85559988021851,122.065002441406,1.84,7.066514734477279e-11,3.9810717055349855e+46,6.29478226619307e+17,4.868870757120385e-12,0.0,4.868870757120385e-12,0.6502230111022791,0.0,0.6502230111022791,0.04162319143872152,2.41e+16,0.227,13.2,1.27e+18,7.65e+43,14100.0,1360.0,1.55,3.63e+48,0.0,3.63e+48,112000.0,100,1.0
PKS 2326-502,3FGL J2036.8-2830,CGRABS J2329-4955,FSRQ,-49.9323997497559,352.329406738281,0.52,1.51358744981955e-10,2.089296130854041e+45,1.4502684632895798e+17,4.478158550927178e-12,0.0,4.478158550927178e-12,0.11147580372618601,0.0,0.11147580372618601,1.5626728850217628,1.8e+16,0.613,19.7,1.72e+17,8.75e+41,1980.0,52.8,1.95,1.67e+44,0.0,1.67e+44,711000.0,100,1.0
PKS 2227-08,3FGL J2036.8-2830,CGRABS J2229-0832,FSRQ,-8.54469966888428,337.425811767578,1.56,4.7266645458732296e-11,3.0199517204019943e+46,5.461649319196928e+17,4.250872738546847e-12,0.0,4.250872738546847e-12,0.0817725215534006,0.0,0.0817725215534006,1.2912747336242907,1.07e+16,2.4,30.3,6.45e+17,1.12e+43,9470.0,12.9,3.0,1.21e+44,0.0,1.21e+44,1550000.0,100,1.0
PKS 0605-08,3FGL J2036.8-2830,CGRABS J0607-0834,FSRQ,-8.58570003509522,92.0101013183594,0.87,2.2212121031373e-11,5.011872336272756e+46,7.035344885745197e+17,4.022215510689365e-12,0.0,4.022215510689365e-12,0.15372945813969527,0.0,0.15372945813969527,0.6518546446126855,1.65e+17,1.71,22.5,8.22e+17,7.08e+41,2760000.0,23.4,2.8,4.52e+43,0.0,4.52e+43,432000.0,100,1.0
PKS 0537-286,3FGL J2036.8-2830,CGRABS J0539-2839,FSRQ,-28.6585006713867,84.9952011108398,3.1,1.6259282115127498e-11,6.025595860743593e+46,7.714193953667978e+17,3.402935948364077e-12,0.0,3.656852302101821e-12,0.3615474965782645,0.0,0.38852544966165165,0.12141417730795899,4.48e+16,0.292,22.6,7.87e+17,3.11e+43,1000.0,17.2,2.6,1.88e+45,0.0,2.020262717244077e+45,145000.0,100,1.0
PKS 2345-16,3FGL J2036.8-2830,CGRABS J2348-1631,FSRQ,-16.5160999298096,357.015991210938,0.58,2.8143369579236596e-11,6.025595860743594e+45,2.4376852893590813e+17,2.5704274004607878e-12,0.0,3.915442134655755e-12,0.21299288897364255,0.0,0.3242803437106528,0.23710822629521017,1000000000000000.0,3.2,12.6,2.72e+17,1.72e+42,80900.0,247.0,2.72,2.53e+46,0.0,3.6255218026995156e+46,278000.0,100,1.0
B2 1015+35B,3FGL J2036.8-2830,CGRABS J1018+3542,FSRQ,35.6801986694336,154.607192993164,1.23,6.695376891796559e-12,3.0199517204019943e+46,5.461649319196928e+17,2.2078130339934257e-12,0.0,5.8826680141368605e-12,0.07350883883252352,0.0,0.19323208262052438,1.2941455325847036,1000000000000000.0,0.42,3.58,5.57e+17,5.1e+44,7590.0,937.0,1.7,2.53e+46,0.0,5.583037194784012e+46,10000000.0,100,1.0
TXS 1700+685,3FGL J2036.8-2830,CGRABS J1700+6830,FSRQ,68.5042037963867,255.021499633789,0.3,3.1149569035271395e-11,3.0199517204019946e+44,5.554219646640944e+16,2.077651985599968e-12,0.0,2.232738577574217e-12,0.04205812244529521,0.0,0.045198452777251104,1.4602320826240267,1.38e+16,0.866,17.4,6.93e+16,5.27e+41,3520.0,54.4,2.66,1.9e+44,0.0,2.041754873810503e+44,835000.0,100,1.0
OJ 535,3FGL J2036.8-2830,CGRABS J0824+5552,FSRQ,55.8815994262695,126.197700500488,1.42,9.16394998079495e-12,2.0892961308540409e+46,4.566802820571443e+17,1.4687061838046608e-12,0.0,2.1413590673122815e-12,0.026379017772097908,0.0,0.038260851267368313,2.6800964001356604,5070000000000000.0,1.69,7.28,4.48e+17,3.8e+43,3780.0,358.0,1.98,3.35e+45,0.0,4.800592110293825e+45,10000000.0,100,1.0
OX 036,3FGL J2036.8-2830,CGRABS J2123+0535,FSRQ,5.59200000762939,320.920593261719,1.94,5.53336629988133e-12,7.079457843841402e+46,8.331329469961417e+17,1.1096749921545632e-12,0.0,1.3791039870691798e-12,0.0670206962269631,0.0,0.0833219906677837,0.35072762920107475,1.11e+16,4.09,14.1,9.06e+17,1.5e+43,23300.0,89.3,2.81,6.54e+45,0.0,8.115732955316246e+45,571000.0,100,1.0
PKS 2355-106,3FGL J2036.8-2830,CGRABS J2358-1020,FSRQ,-10.3615999221802,359.582214355469,1.64,1.0858041896155698e-11,5.011872336272756e+46,7.035344885745197e+17,9.652063652769754e-13,0.0,1.2185935036172703e-12,0.1219929449985112,0.0,0.1540504177121066,0.0639378229259375,3750000000000000.0,0.296,9.36,9.22e+17,1.36e+44,1640.0,36.3,2.48,2.25e+47,0.0,2.7921099616913686e+47,169000.0,100,1.0
S5 1357+76,3FGL J2036.8-2830,CGRABS J1357+7643,FSRQ,76.7063980102539,209.528305053711,1.58,5.85456986709754e-12,3.9810717055349855e+45,2.0056904279536746e+17,9.555647772523063e-13,0.0,1.026858896613308e-12,0.04334212476263873,0.0,0.046575875471111874,0.5270646245337747,3.42e+16,1.94,25.1,2.29e+17,2.11e+41,1230.0,71.4,1.53,9.14e+43,0.0,9.821915550856842e+43,434000.0,100,1.0
PKS 0524-485,3FGL J2036.8-2830,CGRABS J0526-4830,FSRQ,-48.515098571777294,81.571403503418,1.3,2.1040905129332498e-11,1.2022644346174082e+46,3.4559588912432544e+17,9.381904862520706e-13,0.0,1.0081945689278242e-12,0.003055258389000721,0.0,0.003283253183878642,12.210385017672326,2e+17,0.345,17.3,5.28e+17,2.32e+42,9860.0,316.0,2.06,1.17e+44,0.0,1.2572911591359414e+44,9990000.0,100,1.0
S4 0805+41,3FGL J2036.8-2830,CGRABS J0808+4052,FSRQ,40.8954010009766,122.330001831055,1.42,3.38909499422724e-12,1.4125375446227496e+46,3.733669873575301e+17,8.06112238975005e-13,0.0,1.1153260600659673e-12,0.06727439649626744,0.0,0.09302727832680271,0.22729481354483122,1540000000000000.0,1.56,18.5,6.11e+17,5.54e+41,12200.0,17.0,2.13,8.26e+46,0.0,9.538499193534926e+46,284000.0,100,1.0
B2 0202+31,3FGL J2036.8-2830,CGRABS J0205+3212,FSRQ,32.2029991149902,31.3089008331299,1.47,1.3030143804215698e-11,6.025595860743593e+46,7.714193953667978e+17,7.985949055005803e-13,0.0,1.4201334103110756e-12,0.04233725026127948,0.0,0.0752880322660474,0.4068528029537757,3.67e+16,2.13,20.5,8.26e+17,6.07e+42,1080000.0,17.7,2.94,6.46e+43,0.0,1.148768498885144e+44,405000.0,100,1.0
PKS 2143-156,3FGL J2036.8-2830,CGRABS J2146-1525,FSRQ,-15.475700378418,326.621002197266,0.7,5.73530155659197e-12,1.2882495516931323e+46,3.5793859945019424e+17,6.161851445309326e-13,0.0,1.2663799407347797e-12,0.006240643793383912,0.0,0.012822041929736547,4.2914554823953655,2.23e+16,1.73,9.05,3.7e+17,5.05e+43,15300.0,13.4,2.79,8.23e+43,0.0,1.6900510967742313e+44,10000000.0,100,1.0
PKS 0047-579,3FGL J2036.8-2830,CGRABS J0049-5738,FSRQ,-57.6164016723633,12.519700050354,1.8,5.53126901919887e-12,7.079457843841402e+46,8.331329469961417e+17,6.058686579976679e-13,0.0,9.330166199711541e-13,0.0007503028868479536,0.0,0.001155568352293998,12.483889387627894,2e+17,0.788,26.3,2.73e+18,1.09e+42,5540.0,10.3,2.04,3.09e+43,0.0,4.758372965523831e+43,7290000.0,100,1.0
PKS 0451-28,3FGL J2036.8-2830,CGRABS J0453-2807,FSRQ,-28.1144008636475,73.2886962890625,2.56,2.3173454474778597e-11,1.2022644346174083e+47,1.0892441862579185e+18,6.052423337829584e-13,0.0,6.052423337829584e-13,0.04337522444654164,0.0,0.04337522444654164,0.3262804351895611,2e+17,0.507,19.4,1.45e+18,2.34e+43,2340000.0,140.0,2.78,3.67e+45,0.0,3.67e+45,345000.0,100,1.0
OL 318,3FGL J2036.8-2830,CGRABS J1013+3445,FSRQ,34.7383995056152,153.448699951172,1.41,4.4249538928842194e-12,1e+46,3.147391133096535e+17,5.163525513936998e-13,0.0,5.163525513936998e-13,0.03048400149196987,0.0,0.03048400149196987,0.3662578909099289,1.21e+16,2.98,19.9,3.39e+17,2.65e+42,1130.0,86.2,2.74,3.1e+44,0.0,3.1e+44,334000.0,100,1.0
PKS 1903-80,3FGL J2036.8-2830,CGRABS J1912-8010,FSRQ,-80.1574020385742,288.269989013672,1.76,1.77668522255425e-11,1e+46,3.147391133096535e+17,4.2643810061574576e-13,0.0,1.3995687417690324e-12,0.00321178552581288,0.0,0.010833790087235425,7.456539106564725,1.4e+16,0.359,23.1,5.02e+17,2.88e+42,14500.0,490.0,2.8,1.23e+45,0.0,3.889601522007107e+45,4410000.0,100,1.0
PMN J1303-4621,3FGL J2036.8-2830,CGRABS J1303-4621,FSRQ,-46.3675003051758,195.923797607422,1.66,5.84866660310879e-12,1.584893192461124e+45,1.2651278084015485e+17,4.2324820183665656e-13,0.0,7.006410861596479e-13,0.007775380321008336,0.0,0.01287190243977216,1.487817624993335,4170000000000000.0,2.35,29.7,1.59e+17,1.37e+41,2950.0,461.0,2.69,1.03e+44,0.0,1.7044616129414768e+44,1660000.0,100,1.0
B2 1732+38A,3FGL J2036.8-2830,CGRABS J1734+3857,FSRQ,38.9762992858887,263.598388671875,0.98,2.02088311362925e-11,1e+45,9.874168260695013e+16,4.100089305366581e-13,0.0,5.875586206220968e-13,0.00033416449378036736,0.0,0.0004789215366588338,16.095461378973024,1.01e+17,0.696,26.5,3.84e+17,6.36e+41,194000000.0,250.0,2.93,1.34e+43,0.0,1.9202368441175299e+43,6220000.0,100,1.0
B2 1324+22,3FGL J2036.8-2830,CGRABS J1327+2210,FSRQ,22.1732006072998,201.729507446289,1.4,1.75800242419033e-11,1.9952623149688665e+46,4.443375717312755e+17,3.421048351732048e-13,0.0,1.0978957632885376e-12,0.03351644411425015,0.0,0.10689393436405414,0.156976790248527,1170000000000000.0,0.833,28.2,6.83e+17,2.2e+42,4440.0,17.1,1.85,1.46e+46,0.0,4.2963816772655516e+46,141000.0,100,1.0
PKS 0102-245,3FGL J2036.8-2830,CGRABS J0104-2416,FSRQ,-24.2807998657227,16.214599609375,1.75,6.499933837694759e-12,1.9952623149688665e+46,4.443375717312755e+17,3.4142425173081036e-13,0.0,5.257942915771461e-13,0.006218329783143002,0.0,0.009576393190746144,1.649944017840913,1.12e+17,0.513,15.3,5.88e+17,1.31e+43,23300.0,66.7,2.65,2.08e+44,0.0,3.2030471742037436e+44,3160000.0,100,1.0
MG2 J174803+3403,3FGL J2036.8-2830,CGRABS J1748+3404,FSRQ,34.0640983581543,267.010589599609,2.76,5.66218382944128e-12,3.9810717055349855e+46,6.29478226619307e+17,3.3300399780901785e-13,0.0,7.970000335885077e-13,0.0004591079422706455,0.0,0.0011335279937806481,12.304617173601356,8030000000000000.0,0.825,28.5,1.3e+18,1.02e+42,16800.0,322.0,2.28,2.72e+44,0.0,6.4501364793997016e+44,10000000.0,100,1.0
TXS 0907+230,3FGL J2036.8-2830,CGRABS J0910+2248,FSRQ,22.7978000640869,137.674301147461,2.66,4.40572448315302e-12,1.5848931924611238e+46,3.980524080092677e+17,3.3190531553721356e-13,0.0,4.635953628190964e-13,0.00377912941324687,0.0,0.005445987449045681,5.559731515308573,2970000000000000.0,0.299,18.7,1.5e+18,7.27e+42,13600.0,1010.0,1.95,1.95e+46,0.0,2.419828633465853e+46,6650000.0,100,1.0
PKS 1725+044,3FGL J2036.8-2830,CGRABS J1728+0427,FSRQ,4.46059989929199,262.122009277344,0.29,7.62715151453319e-12,1.5135612484362073e+45,1.2342710325868765e+17,2.8768711448618193e-13,0.0,4.1437324943621885e-13,0.02021218523767537,0.0,0.029151318934217876,0.4341451205211248,1.21e+16,2.24,6.27,1.32e+17,4.15e+42,9710.0,266.0,2.52,4.6e+45,0.0,6.591857823090028e+45,367000.0,100,1.0
PMN J0113-3551,3FGL J2036.8-2830,CGRABS J0113-3551,FSRQ,-35.8940010070801,18.2893009185791,1.22,3.53127596608438e-12,6.025595860743594e+45,2.4376852893590813e+17,2.1509761593467988e-13,0.0,3.318015581918e-13,0.0006584874656248594,0.0,0.001019825927412606,9.754239176807454,5.37e+16,0.85,19.9,4.3e+17,4.34e+41,12500.0,376.0,2.5,2.71e+44,0.0,4.173200885621223e+44,5430000.0,100,1.0
PKS 2335-027,3FGL J2036.8-2830,CGRABS J2337-0230,FSRQ,-2.51060009002686,354.508514404297,1.07,1.1869260782559898e-11,1.0964781961431829e+46,3.3016750121698944e+17,1.7604649065307856e-13,0.0,2.34957761200673e-13,0.002494377920481797,0.0,0.003330541929797642,2.349546121203156,2.16e+16,0.552,16.4,4.69e+17,4.23e+42,1930.0,277.0,1.49,4.58e+44,0.0,6.1075281593080244e+44,2540000.0,100,1.0
87GB 122531.6+494958,3FGL J2036.8-2830,CGRABS J1227+4932,FSRQ,49.5489495,186.982014,1.35,6.457855e-12,1e+45,9.874168260695013e+16,1.7127753527587125e-13,0.0,2.4544859205534313e-13,0.0009790389059089002,0.0,0.0014029902078402882,6.576356257555492,4110000000000000.0,4.99,28.6,1.03e+17,2.27e+40,1020.0,435.0,2.81,9.18e+41,0.0,1.3155055394775316e+42,10000000.0,100,1.0
PKS B1413+135,3FGL J2036.8-2830,CGRABS J1415+1320,BCU,13.3470001220703,214.028503417969,0.25,6.19733734816275e-12,3.801893963205597e+43,1.8514065488803148e+16,1.3246940533499655e-13,0.0,1.3246940533499655e-13,0.00041945302512994876,0.0,0.00041945302512994876,19.761460687339717,7.35e+16,0.098,10.2,0.0,2.22e+42,2360.0,748.0,2.23,4.31e+46,0.0,4.31e+46,31600000.0,100,1.0
5C 12.291,3FGL J2036.8-2830,CGRABS J1308+3546,FSRQ,35.7918014526367,197.128601074219,1.05,4.3426442997152e-12,3.311311214825935e+44,5.862787404787663e+16,1.1432550087448443e-13,0.0,1.6816889712922488e-13,0.00750791209198927,0.0,0.011130950458779007,0.2770209854098666,7150000000000000.0,0.614,19.1,8.01e+16,1.01e+42,1420.0,48.7,1.2,9.17e+45,0.0,1.3140725269072946e+46,200000.0,100,1.0
PKS B1434+235,3FGL J2036.8-2830,CGRABS J1436+2321,FSRQ,23.3610992431641,219.226593017578,1.54,4.88969932252448e-12,1.2882495516931323e+46,3.5793859945019424e+17,1.102352878862832e-13,0.0,1.9381352316569958e-13,0.0014104590728860383,0.0,0.002561500421984687,5.525235009500469,1800000000000000.0,1.04,23.5,1.35e+18,9.55e+41,5120.0,22.3,1.69,2.8e+45,0.0,4.0124351966634954e+45,3610000.0,100,1.0
PMN J0257-1211,3FGL J2036.8-2830,CGRABS J0257-1212,FSRQ,-12.2636995315552,44.492000579834,1.39,3.6213274132862497e-12,1.4125375446227496e+46,3.733669873575301e+17,1.0699174474736976e-13,0.0,1.9954112433197362e-13,0.012180058856654083,0.0,0.022734649957344744,0.11428805814358996,1000000000000000.0,2.23,18.5,4.2e+17,1.14e+42,209000.0,593.0,2.71,1.31e+46,0.0,2.329546027150989e+46,100000.0,100,1.0
PKS 0346-27,3FGL J2036.8-2830,CGRABS J0348-2749,FSRQ,-27.8302993774414,57.1417007446289,0.99,8.718255284367869e-12,5.011872336272756e+45,2.2216878586563776e+17,6.417333450549047e-14,0.0,8.558177418793015e-14,8.641425037608522e-05,0.0,0.00011528949273924826,10.637736628856414,1.75e+17,0.757,21.5,8.74e+17,3.7e+41,49800.0,62.4,2.25,2.43e+43,0.0,3.2404570801568773e+43,4440000.0,100,1.0
PKS 0334-131,3FGL J2036.8-2830,CGRABS J0336-1302,FSRQ,-13.07239,54.24958,1.3,5.2745356e-12,6.025595860743594e+45,2.4376852893590813e+17,3.64085054000543e-14,0.0,4.8552250870862975e-14,0.0004744351887236155,0.0,0.0006326855198175057,3.1775342116084966,2e+17,1.02,30.1,4.1e+17,1.38e+41,1860.0,11.6,1.7,8.15e+42,0.0,1.086819967213109e+43,1430000.0,100,1.0
B3 0307+380,3FGL J2036.8-2830,CGRABS J0310+3814,FSRQ,38.2551994323731,47.7296981811523,0.94,5.58222305185874e-12,6.309573444801891e+44,8.022761711814698e+16,2.07245883148364e-14,0.0,8.989614536756991e-14,0.0005392177696290527,0.0,0.0023405745927617128,1.589798494382121,4.63e+16,0.362,10.4,1.93e+17,1.4e+43,30900.0,225.0,2.44,5.27e+45,0.0,1.443147147257318e+46,3140000.0,100,1.0
MRC 1659-621,3FGL J2036.8-2830,CGRABS J1703-6212,FSRQ,-62.221500396728494,255.911697387695,1.75,3.25071705664648e-11,6.025595860743593e+46,7.714193953667978e+17,1.9690147367129313e-14,0.0,3.523814749343312e-14,7.818328197115014e-05,0.0,0.0001435762290829468,6.021000580197389,1.51e+17,0.615,22.7,1.73e+18,4.33e+42,16200.0,284.0,2.24,1.94e+44,0.0,3.44986205547551e+44,2680000.0,100,1.0
TXS 0919-052,3FGL J2036.8-2830,CGRABS J0922-0529,FSRQ,-5.47469997406006,140.6123046875,0.97,6.41220193262071e-12,9.332543007969886e+44,9.565600502548293e+16,6.211097012940999e-15,0.0,1.1045203357917058e-14,0.00017843060605810017,0.0,0.00031730535718576473,0.8844352913260185,1.4e+17,1.25,29.1,1.5e+17,6.61e+40,149000.0,580.0,2.79,3.05e+42,0.0,5.423752200618714e+42,479000.0,100,1.0
B3 0020+446,3FGL J2036.8-2830,CGRABS J0023+4456,FSRQ,44.9510002136231,5.94770002365112,1.06,5.8395501975616596e-12,1.0964781961431829e+45,1.0491303776988451e+17,4.126655590877081e-15,0.0,9.123982967745903e-15,0.0005004901957579462,0.0,0.001095800441678454,0.07592896828969041,3.3e+16,0.332,14.3,3.04e+17,2.26e+42,12900.0,504.0,2.28,7.3e+46,0.0,1.2080164829585223e+47,100000.0,100,1.0
OD 166,3FGL J2036.8-2830,CGRABS J0242+1101,FSRQ,11.0476999282837,40.595100402832,2.68,6.646312840363769e-12,1e+46,3.147391133096535e+17,3.740526534659168e-15,0.0,9.087266682263705e-15,0.0002407293706022325,0.0,0.0005891423957291452,0.5024346939045313,7.33e+16,0.552,20.7,5.2e+17,7.67e+42,87000.0,204.0,2.71,1.09e+45,0.0,2.584797339171204e+45,371000.0,100,1.0
PMN J0134-3843,3FGL J2036.8-2830,CGRABS J0134-3843,FSRQ,-38.708499908447294,23.5886993408203,2.14,2.28173881698657e-12,1.9952623149688666e+47,1.4070689771490394e+18,9.08534051108617e-16,0.0,3.3976461690853373e-15,7.229779477411982e-05,0.0,0.0002666800842649561,0.2898366095767537,1.1e+17,0.72,15.2,5.58e+18,7.72e+42,117000.0,40.4,2.29,3.78e+45,0.0,8.341454781139747e+45,553000.0,100,1.0
B2 1040+24A,3FGL J2036.8-2830,CGRABS J1043+2408,FSRQ,24.1459999084473,160.805297851563,0.56,1.04561454980501e-11,4.466835921509617e+44,6.788490679227821e+16,1.7238382484347563e-16,0.0,5.762492442195129e-16,7.316121030159621e-06,0.0,2.511259536921044e-05,0.8359597186331805,5.84e+16,0.577,14.6,2.46e+17,9.31e+41,394000.0,234.0,2.57,2.4e+44,0.0,5.296161765803015e+44,726000.0,100,1.0
MG1 J221916+1806,3FGL J2036.8-2830,CGRABS J2219+1806,FSRQ,18.1026000976563,334.812713623047,1.07,1.3954835551e-11,7.079457843841402e+45,2.6228259442471126e+17,9.70819764504484e-17,0.0,8.693021910307187e-13,1.380584245691818e-05,0.0,0.12361879741349703,0.01462265185399559,1000000000000000.0,0.322,3.38,3.89e+17,5.11e+44,284000.0,11.6,1.31,3.82e+43,0.0,3.07831715724886e+47,100000.0,100,1.0
Mkn 501,3FGL J2036.8-2830,CGRABS J1653+3945,HBL,39.7594985961914,253.47380065918,0.03,1.45386078176379e-10,1.6982436524617322e+43,1.2342710325868766e+16,0.0,0.0,1.5228065637766165e-11,0.0,0.0,0.734954672636692,0.6143371221395582,2.79e+16,0.0561,5.8,0.0,1.64e+42,7570000.0,59.8,2.06,0.0,0.0,5.573061659465795e+46,0.0,0,1.0
1ES 1959+650,3FGL J2036.8-2830,CGRABS J1959+6508,HBL,65.1479034423828,300.010986328125,0.05,9.26637516718287e-11,1.905460717963252e+43,1.2342710325868766e+16,0.0,0.0,8.702036379540296e-12,0.0,0.0,0.3167791301476504,0.8488847810372078,5.74e+16,0.0433,8.17,0.0,1e+42,2850000.0,600.0,1.99,0.0,0.0,4.869675251658631e+46,0.0,0,1.0
PKS 2155-304,3FGL J2036.8-2830,CGRABS J2158-3013,HBL,-30.2250995635986,329.714111328125,0.12,2.13802114901185e-10,2.8183829312644723e+44,5.245651888494226e+16,0.0,0.0,6.323946102509601e-12,0.0,0.0,0.37262026113922436,0.4316898009782744,1.96e+17,0.128,4.01,0.0,3.5e+43,497000.0,603.0,1.38,0.0,0.0,1.586054273160286e+47,0.0,0,1.0
3C 273,3FGL J2036.8-2830,CGRABS J1229+0203,FSRQ,2.0453999042511,187.267501831055,0.16,1.28729069071021e-10,2.1877616239495697e+46,4.6593731480154586e+17,0.0,0.0,4.375638994698169e-12,0.0,0.0,0.2519445795125308,0.4770898032653525,1.5e+16,4.08,4.59,4.75e+17,1.36e+44,122000.0,619.0,2.64,0.0,0.0,4.6215633273618807e+45,0.0,0,1.0
PKS J1829-5813,3FGL J2036.8-2830,CGRABS J1829-5813,FSRQ,-58.23,0.0,1.53,3.66085781811449e-11,4.4668359215096164e+46,6.665063575969133e+17,0.0,0.0,4.0481170861815854e-12,0.0,0.0,0.2802055722052337,0.3786081729832956,1570000000000000.0,0.749,8.78,6.54e+17,1.08e+44,16800.0,540.0,1.87,0.0,0.0,2.9574932050055104e+46,0.0,0,1.0
PKS J2129-1538,3FGL J2036.8-2830,CGRABS J2129-1538,FSRQ,-15.64,0.0,3.28,3.211557468094574e-12,6.025595860743593e+47,2.4376852893590815e+18,0.0,0.0,3.627433210352943e-12,0.0,0.0,0.2789097941681838,0.2829405541984196,2.49e+17,0.139,11.1,2.42e+18,1.63e+44,7240.0,14.8,2.69,0.0,0.0,5.539079576176371e+44,0.0,0,1.0
PKS 0925-203,3FGL J2036.8-2830,CGRABS J0927-2034,FSRQ,-20.5972995758057,142.047805786133,0.35,6.56738248852595e-12,7.943282347242789e+45,2.807966599135144e+17,0.0,0.0,3.3215540991263055e-12,0.0,0.0,0.07107116402639255,1.218840697223593,1.25e+16,2.97,22.5,2.75e+17,2.67e+40,9590000.0,62.3,1.53,0.0,0.0,1.0477586655153711e+42,0.0,0,1.0
TXS 0616-116,3FGL J2036.8-2830,CGRABS J0619-1140,BCU,-11.64158,94.73917,0.97,7.746858e-12,1.2882495516931323e+45,1.1417007051428608e+17,0.0,0.0,3.299531182704077e-12,0.0,0.0,0.3337368418985948,0.1523456804529476,447000000000000.0,0.172,3.36,0.0,3.46e+44,216000.0,220.0,1.95,0.0,0.0,1.4590699018628943e+47,0.0,0,1.0
PMN J0017-0512,3FGL J2036.8-2830,CGRABS J0017-0512,FSRQ,-5.23470020294189,4.39489984512329,0.23,1.2202161156493798e-11,6.165950018614809e+44,7.714193953667979e+16,0.0,0.0,2.884068497083699e-12,0.0,0.0,0.20399798678621806,0.34189364593970706,178000000000000.0,4.79,4.26,7.62e+16,1.12e+43,34600.0,21.3,2.17,0.0,0.0,4.0899502252541824e+45,0.0,0,1.0
