Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
PKS 0402-362,3FGL J2036.8-2830,CGRABS J0403-3605,FSRQ,-36.0870018005371,60.9749984741211,1.42,9.06262495603549e-11,3.9810717055349855e+46,6.29478226619307e+17,0.0,0.0,1.5034042493401707e-14,0.0,0.0,0.0008187022689986122,0.538883124408166,5.15e+16,0.415,14.6,1.34e+18,4.18e+43,32400.0,348.0,2.35,0.0,0.0,1.7626913843314737e+45,0.0,0,1.0
4C +47.44,3FGL J2036.8-2830,CGRABS J1637+4717,FSRQ,47.2913017272949,249.434204101563,0.73,1.62403892417506e-11,3.801893963205597e+45,1.9439768763243306e+17,0.0,0.0,1.4886927620704217e-14,0.0,0.0,0.0004670127707845842,0.901186433215441,3.99e+16,0.336,11.7,3.03e+17,9.53e+42,9410000.0,330.0,2.84,0.0,0.0,7.679676049366919e+44,0.0,0,1.0
PKS 0414-189,3FGL J2036.8-2830,CGRABS J0416-1851,FSRQ,-18.8724002838135,64.1372985839844,1.42,1.00487977314212e-11,1e+46,3.147391133096535e+17,0.0,0.0,1.3120153757829367e-14,0.0,0.0,0.0003210408048116233,1.2168913223538163,2.12e+16,0.467,22.1,5.07e+17,4.38e+42,22700.0,14.8,2.39,0.0,0.0,2.4630550043337288e+44,0.0,0,1.0
S5 2023+760,3FGL J2036.8-2830,CGRABS J2022+7611,LBL,76.2006988525391,305.645904541016,0.59,1.5014935475510298e-11,7.585775750291882e+44,8.639897228108136e+16,0.0,0.0,1.1158200579298782e-14,0.0,0.0,0.0005847764012792321,0.601095874189069,2.69e+16,0.289,10.7,0.0,1.36e+43,25500.0,80.9,2.02,0.0,0.0,2.4184599976529348e+45,0.0,0,1.0
S4 1144+40,3FGL J2036.8-2830,CGRABS J1146+3958,FSRQ,39.977500915527294,176.740493774414,1.09,4.96317327514095e-11,1e+46,3.147391133096535e+17,0.0,0.0,9.50210646005532e-15,0.0,0.0,0.0004857189296534088,0.5812322668454335,4.8e+16,0.237,13.6,6.73e+17,1.55e+43,13300.0,452.0,2.09,0.0,0.0,5.267222909860967e+45,0.0,0,1.0
PKS 0306+102,3FGL J2036.8-2830,CGRABS J0309+1029,FSRQ,10.4926996231079,47.2616996765137,0.86,1.8551393060617397e-11,1.6982436524617323e+45,1.2959845842162205e+17,0.0,0.0,9.445272484424045e-15,0.0,0.0,0.00040822765815466244,0.785480328472718,2.77e+16,0.447,14.8,3.52e+17,7.11e+42,2730000.0,363.0,2.85,0.0,0.0,1.568987923119143e+45,0.0,0,1.0
4C +28.07,3FGL J2036.8-2830,CGRABS J0237+2848,FSRQ,28.8043994903564,39.4737014770508,1.21,8.950205854230119e-11,2.3988329190195045e+46,4.8753705787181626e+17,0.0,0.0,7.834865438544693e-15,0.0,0.0,0.00034973029649978314,0.9794745365940055,6.76e+16,0.21,13.3,8.68e+17,4.64e+43,17300.0,32.9,1.97,0.0,0.0,1.6944079504624467e+45,0.0,0,1.0
GB6 J1439+4958,3FGL J2036.8-2830,CGRABS J1439+4958,LBL,49.977500915527294,219.941101074219,0.17,7.031227596682179e-12,1e+44,3.085677581467191e+16,0.0,0.0,7.63805160541969e-15,0.0,0.0,0.00039465976948873765,0.5785657717635022,1.11e+16,0.555,5.08,0.0,2.46e+42,126000.0,429.0,2.29,0.0,0.0,2.1302722354657615e+45,0.0,0,1.0
MG2 J133305+2725,3FGL J2036.8-2830,CGRABS J1333+2725,FSRQ,27.4221000671387,203.322692871094,2.13,6.0023461895264394e-12,3.9810717055349855e+46,6.29478226619307e+17,0.0,0.0,7.529387952391647e-15,0.0,0.0,0.0005684392098767335,0.29551654133253225,6.89e+16,0.204,9.37,1.11e+18,6.65e+43,32100.0,94.4,2.08,0.0,0.0,1.694617337406265e+46,0.0,0,1.0
PKS 0308-611,3FGL J2036.8-2830,CGRABS J0309-6058,FSRQ,-60.9733009338379,47.4920997619629,1.48,2.7768344915135598e-11,1.5135612484362073e+46,3.857096976833989e+17,0.0,0.0,7.23111563592117e-15,0.0,0.0,0.00016686010272377714,1.3056581357162917,2.74e+16,0.546,24.3,6.75e+17,3.21e+42,5710.0,208.0,2.09,0.0,0.0,1.9397914126644062e+44,0.0,0,1.0
